Date,CounterParty,Reference,Type,Amount,Balance,Category,Notes
02/01/2024,Octopus Energy,A-D9C3D096-001,DIRECT DEBIT,-200,8270.06,BILLS_AND_SERVICES,
04/01/2024,Southern Water,4522424248,DIRECT DEBIT,-27.55,3459.95,BILLS_AND_SERVICES,
07/01/2024,The Music Workshop,THE MUSIC WORKSHOP,ONLINE PAYMENT,-7,3288.63,BILLS_AND_SERVICES,
30/01/2024,Fhdc,FHDC,ONLINE PAYMENT,-670.01,4899.79,BILLS_AND_SERVICES,
01/02/2024,Southern Water,4522424248,DIRECT DEBIT,-27.55,6429.1,BILLS_AND_SERVICES,
01/02/2024,Octopus Energy,A-D9C3D096-001,DIRECT DEBIT,-200,5955.1,BILLS_AND_SERVICES,
02/02/2024,The Music Workshop,THE MUSIC WORKSHOP,ONLINE PAYMENT,-7,3328.35,BILLS_AND_SERVICES,
08/02/2024,Fhdc,FHDC,ONLINE PAYMENT,-60,3535.37,BILLS_AND_SERVICES,
22/02/2024,TV Licensing,4195903824,DIRECT DEBIT,-159,3845.53,BILLS_AND_SERVICES,
29/02/2024,Fhdc,FHDC,ONLINE PAYMENT,-223,6593.85,BILLS_AND_SERVICES,
01/03/2024,Octopus Energy,A-D9C3D096-001,DIRECT DEBIT,-200,6324.98,BILLS_AND_SERVICES,
01/03/2024,Southern Water,4522424248,DIRECT DEBIT,-27.55,6297.43,BILLS_AND_SERVICES,
26/01/2024,Puddle Ducks East Kent Ashford,PUDDLE DUCKS EAST KENT,ONLINE PAYMENT,-34,5838.22,CHILDREN,
10/03/2024,Puddle Ducks East Kent Ashford,PUDDLE DUCKS EAST KENT,CARD SUBSCRIPTION,-68,3357.24,CHILDREN,
14/01/2024,Wickes,WICKES FOLKESTONE,APPLE PAY,-74,2874.72,DIY,
28/01/2024,Homebase,Homebase,APPLE PAY,-59,5719.84,DIY,
04/02/2024,Screwfix,SCREWFIX DIR LTD,APPLE PAY,-39.38,3181.46,DIY,
28/02/2024,H Mathewâ€™s plumbing and heating,Moag CT195AX,FASTER PAYMENT,-170,5423.85,DIY,
01/01/2024,Just Eat,Just Eat,ONLINE PAYMENT,-34.4,6670.06,EATING_OUT,
02/01/2024,Orchard Lane Coffee Ho,ORCHARD LANE COFFEE HO,APPLE PAY,-10.7,5482.66,EATING_OUT,
07/01/2024,Harbour Coffee Co,Harbour Coffee Co,APPLE PAY,-35,3253.63,EATING_OUT,
07/01/2024,Harbour Coffee Co,Harbour Coffee Co,APPLE PAY,-11.4,3242.23,EATING_OUT,
07/01/2024,Music Cafe Folkest,SQ *MUSIC CAFE FOLKEST,APPLE PAY,-5.5,3236.73,EATING_OUT,
07/01/2024,Just Eat,Just Eat,APPLE PAY,-34.5,3202.23,EATING_OUT,
13/01/2024,The Sandwich Shop,THE SANDWICH SHOP,APPLE PAY,-7,3002.21,EATING_OUT,
13/01/2024,Yoke,SQ *YOKE,CONTACTLESS,-8.9,2982.37,EATING_OUT,
14/01/2024,Just Eat,Just Eat,APPLE PAY,-29.5,2948.72,EATING_OUT,
14/01/2024,Lsp*the Harbour Inn,LSP*The Harbour Inn,APPLE PAY,-38,2806.51,EATING_OUT,
15/01/2024,Music Cafe Folkest,SQ *MUSIC CAFE FOLKEST,APPLE PAY,-8.5,2793.01,EATING_OUT,
15/01/2024,Music Cafe Folkest,SQ *MUSIC CAFE FOLKEST,APPLE PAY,-5,2788.01,EATING_OUT,
15/01/2024,Harbour Coffee Co,Harbour Coffee Co,APPLE PAY,-10.3,2777.71,EATING_OUT,
18/01/2024,Yoke,SQ *YOKE,APPLE PAY,-13.2,2912.69,EATING_OUT,
20/01/2024,Lsp*the Pullman,LSP*The Pullman,APPLE PAY,-9,2808.22,EATING_OUT,
20/01/2024,Lsp*the Pullman,LSP*The Pullman,APPLE PAY,-11,2797.22,EATING_OUT,
22/01/2024,Nochex.*markyate Spice,NOCHEX.*THE PRINCE OF,ONLINE PAYMENT,-26.05,2748.52,EATING_OUT,
29/01/2024,Sandy?s Folkestone,Sandy?s Folkestone,APPLE PAY,-2.5,5579.8,EATING_OUT,
